Urms,y/c
0.00E+00,0
1.05411,0.000413081
2.23635,0.00119577
3.56282,0.00172639
3.85736,0.00245325
3.93412,0.00386691
3.97557,0.00542896
4.03034,0.00739769
4.08078,0.0100528
4.1268,0.0125723
4.20097,0.0163842
4.24396,0.0183568
4.29134,0.0201909
4.37136,0.0237269
4.41289,0.0257684
4.48849,0.0293059
4.54642,0.0327805
4.57913,0.0348934
4.63854,0.038436
4.66976,0.0404809
4.69503,0.0421167
4.71154,0.0442347
4.71332,0.0462891
4.70033,0.0480057
4.66526,0.049798
4.61989,0.0515935
4.58187,0.0533183
4.54091,0.0550439
4.49853,0.0571125
4.4517,0.0589771
4.38869,0.0609153
4.33304,0.0629197
4.23911,0.0647995
4.16133,0.0664685
4.10124,0.0682689
4.02499,0.0702799
3.9502,0.072222
3.83563,0.0739029
3.70935,0.0760671
3.61099,0.0778798
3.5097,0.0798304
3.40398,0.0816455
3.28941,0.0833949
2.7691,0.0889057
2.56036,0.0909596
2.37073,0.0928017
2.2503,0.09469
2.14752,0.0965042
2.03445,0.0984586
1.92876,0.100479
1.81271,0.102161
1.69964,0.104046
1.52178,0.105816
1.341,0.107793
1.19994,0.109551
1.14573,0.111281
1.10922,0.113279
1.06978,0.115346
0.995257,0.119069
0.94721,0.122647
0.915172,0.124986
0.832143,0.130904
0.762424,0.137228
0.640681,0.150076
0.527709,0.162511
0.43827,0.1748
0.415636,0.180973
0.388566,0.187009
0.365452,0.199825
