"Y/C(u/U), created by Plot Digitizer, 2.6.8"
"Date: 16/10/16, 20:42:20"


43
u/U,Y/C
0.00268432,0.000123430,
0.156718,0.000670405,
0.375882,0.00106010,
0.601955,0.00207020,
0.647188,0.00329533,
0.670196,0.00428200,
0.687848,0.00577043,
0.700898,0.00701162,
0.708592,0.00862979,
0.723214,0.0119913,
0.734746,0.0139818,
0.749371,0.0174681,
0.763244,0.0217033,
0.780964,0.0268101,
0.793300,0.0307965,
0.811056,0.0377748,
0.831860,0.0438781,
0.841893,0.0476162,
0.851154,0.0511052,
0.871944,0.0564599,
0.890440,0.0620653,
0.905091,0.0669240,
0.928987,0.0743983,
0.945941,0.0795054,
0.965201,0.0849856,
0.979069,0.0889714,
0.989102,0.0927094,
0.998358,0.0959488,
1.00533,0.0998132,
1.02313,0.109037,
1.03392,0.112650,
1.04399,0.118260,
1.05176,0.124245,
1.05801,0.130605,
1.06504,0.137214,
1.07128,0.143075,
1.07677,0.149810,
1.07994,0.155798,
1.08313,0.162035,
1.08555,0.168521,
1.08567,0.174760,
1.08808,0.180997,
1.08897,0.187485,
