X,CP
0.000149385584012,-0.000280231379379
-0.000851450685989,-0.240647742224727
-0.000851450685989,-0.524718436860137
0.000149385584012,-0.859776179250622
0.000149385584012,-1.06372437027092
0.001150221854014,-1.34051120094132
0.002151058124015,-1.56995291583915
0.004152730664018,-1.70106246720934
0.00515356693402,-1.77025917487694
0.007155239474022,-1.80303656271948
0.008156075744024,-1.813962358667
0.01215942082403,-1.80303656271948
0.020166110984041,-1.73019792306938
0.025170292334049,-1.67921087531431
0.031175309954057,-1.62458189557673
0.039182000114069,-1.55538518790913
0.050191199084085,-1.48254654825902
0.065203743134106,-1.40242404464391
0.086221304804137,-1.31137574508127
0.110241375284171,-1.23853710543117
0.127255591874196,-1.1911919896586
0.147272317274225,-1.14748880586854
0.17129238775426,-1.09650175811346
0.196313294504296,-1.0527985743234
0.216330019904325,-1.01637925449835
0.236346745304354,-0.987243798638306
0.258365143244385,-0.961750274760769
0.27537935983441,-0.943540614848243
0.286388558804426,-0.892553567093169
0.305404447934453,-0.841566519338095
0.3374312085745,-0.801505267530537
0.378465495644559,-0.754160151757969
0.442519016924652,-0.677679580125358
0.507573374474745,-0.593915144527737
0.589641948614864,-0.495582981000096
0.650692961084952,-0.42274434134999
0.709742301015037,-0.349905701699885
0.777799167375136,-0.258857402137254
0.838850179845224,-0.167809102574622
0.875881121835278,-0.105896258872032
0.914913736365334,-0.025773755256917
0.941936315655373,0.032497156463168
0.968958894945412,0.101693864130767
0.999984819315457,0.178174435763378
0.936932134305366,0.156322843868347
0.85686523270525,0.145397047920831
0.784805021265146,0.134471251973315
0.708741464745036,0.127187388008304
0.625672054334916,0.127187388008304
0.523586754794769,0.112619660078283
0.445521525734656,0.108977728095778
0.381468004454563,0.101693864130767
0.333427863494494,0.101693864130767
0.287389395074427,0.101693864130767
0.263369324594393,0.105335796113273
0.235345909034352,0.116261592060789
0.21332751109432,0.119903524043294
0.189307440614286,0.134471251973315
0.16428653386425,0.149038979903336
0.136263118304209,0.181816367745883
0.110241375284171,0.221877619553441
0.087222141074138,0.27650659929102
0.070207924484114,0.334777511011104
0.052192871624088,0.42218387859123
0.042184508924073,0.495022518241336
0.03317698249406,0.578786953838957
0.025170292334049,0.677119117366599
0.020166110984041,0.764525484946725
0.016162765904036,0.841006056579336
0.01215942082403,0.90656083226443
0.006154403204021,0.997609131827062
0.003151894394017,0.913844696229441
0.002151058124015,0.793660940806768
0.000149385584012,0.593354681768978
0.000149385584012,0.360271034888641
-0.000851450685989,0.13082931999081
